Altium Designer Pick and Place Locations
C:\Users\wacker\AppData\Local\TempReleases\Snapshot\1\Assembly default\pnp-data\Pick Place for slave(default).csv

========================================================================================================================
File Design Information:

Date:       28.03.19
Time:       11:58
Revision:   Not in VersionControl
Variant:    default
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C400","100n/50V","TopLayer","CAPC1608X08N","25.6974","38.4051","0","MLCC"
"C401","100n/50V","TopLayer","CAPC1608X08N","31.6507","36.5001","90","MLCC"
"C402","100n/50V","TopLayer","CAPC1608X08N","31.6507","33.3251","270","MLCC"
"C403","100n/50V","TopLayer","CAPC1608X08N","25.6974","31.4201","0","MLCC"
"C404","100n/50V","TopLayer","CAPC1608X08N","29.5074","42.5326","90","MLCC"
"C405","100n/50V","TopLayer","CAPC1608X08N","6.6474","39.0401","180","MLCC"
"C406","100n/50V","TopLayer","CAPC1608X08N","29.5074","50.1526","90","MLCC"
"C407","100n/50V","TopLayer","CAPC1608X08N","6.6474","46.6601","180","MLCC"
"C900","2u2/250V","TopLayer","CAPC2220(5750)230_N","45.5613","85.4075","0","MLCC"
"C901","2u2/250V","TopLayer","CAPC2220(5750)230_N","45.5613","79.5338","0","MLCC"
"C902","470p/100V","TopLayer","CAPC2012X14N","20.0025","91.7575","180","MLCC"
"C903","4n7/1000V","TopLayer","CAPC4532X16N","33.6550","76.8350","0","MLCC"
"C904","1u/35V","TopLayer","CAPC1608X08N","15.2038","75.4063","360","MLCC"
"C905","22u/50V","TopLayer","CAPC2220(5750)230_N","14.1288","80.1688","90","MLCC"
"C906","100n/50V","TopLayer","CAPC1608X08N","18.4150","87.9475","180","MLCC"
"C907","1u/35V","TopLayer","CAPC1608X08N","15.5575","84.7725","0","MLCC"
"C1100","100n/50V","TopLayer","CAPC1608X08N","123.5276","56.2663","270","MLCC"
"C100-1","100n/50V","TopLayer","CAPC1608X08N","109.5375","9.3663","90","MLCC"
"C100-2","100n/50V","TopLayer","CAPC1608X08N","81.1213","9.3663","90","MLCC"
"C101-1","1u/35V","TopLayer","CAPC1608X08N","99.2188","25.5588","180","MLCC"
"C101-2","1u/35V","TopLayer","CAPC1608X08N","76.8350","23.8125","90","MLCC"
"C102-1","10n/100V","TopLayer","CAPC1608X08N","103.6637","16.8275","270","MLCC"
"C102-2","10n/100V","TopLayer","CAPC1608X08N","75.5650","16.8275","270","MLCC"
"C103-1","10n/100V","TopLayer","CAPC1608X08N","102.0763","16.8275","270","MLCC"
"C103-2","10n/100V","TopLayer","CAPC1608X08N","73.9775","16.8275","270","MLCC"
"C104-1","10n/100V","TopLayer","CAPC1608X08N","100.4888","16.8275","270","MLCC"
"C104-2","10n/100V","TopLayer","CAPC1608X08N","72.3900","16.8275","270","MLCC"
"C105-1","10n/100V","TopLayer","CAPC1608X08N","98.9013","16.8275","270","MLCC"
"C105-2","10n/100V","TopLayer","CAPC1608X08N","70.8025","16.8275","270","MLCC"
"C106-1","10n/100V","TopLayer","CAPC1608X08N","97.3138","16.8275","270","MLCC"
